entry	name	qualified_name	subsystem	evidence	size	parameters	locals	source	thunk	external	decompile	decompile_sha256	caller_count	callee_count	string_count	c_file	asm_file
00100050	mii_phy_read	mii_phy_read	mdio-pseudophy	retained-or-recovered-symbol	184	0	0	USER_DEFINED	false	false	success	ac4ea99f3dab7778fcfa86b476e3785285f7115b31aceafd4ea8b1d33f95e210	0	0	0	decompiled/00100050_mii_phy_read.c	assembly/00100050_mii_phy_read.asm
00100108	mii_phy_write	mii_phy_write	mdio-pseudophy	retained-or-recovered-symbol	164	0	0	USER_DEFINED	false	false	success	bbb84cbe22b12409cf76c9209ff2203c2c8102419e95ef1e4cd8a349d54fa384	0	0	0	decompiled/00100108_mii_phy_write.c	assembly/00100108_mii_phy_write.asm
001001b0	cleanup_module	cleanup_module	module-lifecycle	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	46393b640ab99a083c3e90b269bf0896dc79cf337cfe564f8c61272cfe4a7138	0	0	0	decompiled/001001b0_cleanup_module.c	assembly/001001b0_cleanup_module.asm
001001e8	init_module	init_module	module-lifecycle	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	5a11a8d85c3c68ddad5420492ca65307d058739f724c5dea7dc18f20e35c309c	0	0	0	decompiled/001001e8_init_module.c	assembly/001001e8_init_module.asm
