function_entry	function_name	string
ffffffffbfc1bdf4	FUN_ffffffffbfc1bdf4	TLB[%02d] virt : 0x%qx - 0x%qx\n
ffffffffbfc1bf6c	FUN_ffffffffbfc1bf6c	octeon_load_app_hi
ffffffffbfc1bf6c	FUN_ffffffffbfc1bf6c	ERROR: TLB overlap - out of virtual memory in 0x10000000 - 0x20000000 range\n
ffffffffbfc1bf6c	FUN_ffffffffbfc1bf6c	Bootloader error: out of memory.\n
ffffffffbfc1bf6c	FUN_ffffffffbfc1bf6c	map_size:%x\n
ffffffffbfc1c35c	do_bootoct	tack=
ffffffffbfc1c35c	do_bootoct	debug
ffffffffbfc1c35c	do_bootoct	setting debug flag!\n
ffffffffbfc1c35c	do_bootoct	break
ffffffffbfc1c35c	do_bootoct	coremask=0x
ffffffffbfc1c35c	do_bootoct	coremask=
ffffffffbfc1c35c	do_bootoct	forceboot
ffffffffbfc1c35c	do_bootoct	numcores=
ffffffffbfc1c35c	do_bootoct	skipcores=
ffffffffbfc1c35c	do_bootoct	endbootargs
ffffffffbfc1c35c	do_bootoct	Coremask is empty after coremask_override mask. Nothing to do.\n
ffffffffbfc1c35c	do_bootoct	Invalid coremask.\n
ffffffffbfc1c35c	do_bootoct	ERROR: Can't load code on core twice! (provided coremask overlaps previously loaded coremask)\n
ffffffffbfc1c35c	do_bootoct	Bootloader: Booting Octeon Executive application at 0x%08lx, core mask: 0x%x, stack size: 0x%x, heap size: 0x%x\n
ffffffffbfc1c35c	do_bootoct	ERROR: heap too small: 0x%x, must be at least 0x%x bytes for temp boot descriptor storage\n
ffffffffbfc1c35c	do_bootoct	Pointer not to ELF data!\n
ffffffffbfc1c35c	do_bootoct	Data isn't an ELF32 or ELF64 file!\n
ffffffffbfc1c35c	do_bootoct	Data isn't in big-endian mode.\n
ffffffffbfc1c35c	do_bootoct	Data isn't an executable!\n
ffffffffbfc1c35c	do_bootoct	Data isn't an executable for a MIPS R3000 or R4000!\n
ffffffffbfc1c35c	do_bootoct	.shstrtab
ffffffffbfc1c35c	do_bootoct	.cvmx_shared_hw
ffffffffbfc1c35c	do_bootoct	.cvmx_shared
ffffffffbfc1c35c	do_bootoct	ERROR CREATING TLB MAPPING (read only)\n
ffffffffbfc1c35c	do_bootoct	ERROR CREATING TLB MAPPING (CVMX_SHARED)\n
ffffffffbfc1c35c	do_bootoct	no_mark_private_data
ffffffffbfc1c35c	do_bootoct	NOTICE: oversize TLB mappings for application used, application can't use 1-1 TLB mappings.\n
ffffffffbfc1c35c	do_bootoct	ERROR setting up boot descriptor block, core_mask: 0x%qx\n
ffffffffbfc1c35c	do_bootoct	ERROR setting boot vectors, core_mask: 0x%qx\n
ffffffffbfc1c35c	do_bootoct	Bootloader: Done loading app on coremask: 0x%x\n
ffffffffbfc1c35c	do_bootoct	ERROR CREATING TLB MAPPING (rw)\n
ffffffffbfc1c35c	do_bootoct	ERROR CREATING TLB MAPPING for stack/heap\n
ffffffffbfc1c35c	do_bootoct	Error: cvmx_shared_hw is no longer supported.\n
ffffffffbfc1c35c	do_bootoct	ERROR: Unable to properly load application\n
ffffffffbfc1c35c	do_bootoct	ERROR: unable to find section header string table, aborting\n
ffffffffbfc1d950	do_bootoctlinux	argv[%d]: %s\n
ffffffffbfc1d950	do_bootoctlinux	coremask=0x
ffffffffbfc1d950	do_bootoctlinux	coremask=
ffffffffbfc1d950	do_bootoctlinux	forceboot
ffffffffbfc1d950	do_bootoctlinux	debug
ffffffffbfc1d950	do_bootoctlinux	numcores=
ffffffffbfc1d950	do_bootoctlinux	skipcores=
ffffffffbfc1d950	do_bootoctlinux	endbootargs
ffffffffbfc1d950	do_bootoctlinux	Coremask is empty after coremask_override mask. Nothing to do.\n
ffffffffbfc1d950	do_bootoctlinux	Invalid coremask.\n
ffffffffbfc1d950	do_bootoctlinux	__tmp_reserved_linux
ffffffffbfc1d950	do_bootoctlinux	Allocated memory for ELF segment: addr: 0x%x, size 0x%x\n
ffffffffbfc1d950	do_bootoctlinux	Skipping non LOAD program header (type 0x%x)\n
ffffffffbfc1d950	do_bootoctlinux	Attempting to allocate memory for ELF segment: addr: 0x%qx (adjusted to: 0x%qx), size 0x%x\n
ffffffffbfc1d950	do_bootoctlinux	Allocated memory for ELF segment: addr: 0x%qx, size 0x%x\n
ffffffffbfc1d950	do_bootoctlinux	Error allocating memory for elf image!\n
ffffffffbfc1d950	do_bootoctlinux	## ERROR loading File!\n
ffffffffbfc1d950	do_bootoctlinux	ERROR: Can't load code on core twice! (provided coremask overlaps previously loaded coremask)\n
ffffffffbfc1d950	do_bootoctlinux	## Loading Linux kernel with entry point: 0x%08qx ...\n
ffffffffbfc1d950	do_bootoctlinux	ERROR setting up boot descriptor block, core_mask: 0x%qx\n
ffffffffbfc1d950	do_bootoctlinux	ERROR setting boot vectors, core_mask: 0x%qx\n
ffffffffbfc1d950	do_bootoctlinux	Bootloader: Done loading app on coremask: 0x%x\n
ffffffffbfc1e094	do_bootoctelf	Warning: No memory size provided, this application won't co-exist with simple exec. applications or Linux.\n
ffffffffbfc1e094	do_bootoctelf	coremask=0x
ffffffffbfc1e094	do_bootoctelf	coremask=
ffffffffbfc1e094	do_bootoctelf	forceboot
ffffffffbfc1e094	do_bootoctelf	debug
ffffffffbfc1e094	do_bootoctelf	numcores=
ffffffffbfc1e094	do_bootoctelf	skipcores=
ffffffffbfc1e094	do_bootoctelf	Coremask is empty after coremask_override mask. Nothing to do.\n
ffffffffbfc1e094	do_bootoctelf	Invalid coremask.\n
ffffffffbfc1e094	do_bootoctelf	Warning: Coremask has %d cores set.  Application must support multiple cores for proper operation.\n
ffffffffbfc1e094	do_bootoctelf	ERROR: Can't load code on core twice! (provided coremask overlaps previously loaded coremask)\n
