path,type,size,mode
bin/dot11SetPSKPass,symlink,24,0o777
bin/dot11SetPnacAuthTimeout,symlink,24,0o777
bin/dot11SetPnacReAuthInterval,symlink,24,0o777
bin/dot11SetProfile,symlink,24,0o777
bin/dot11SetProtMode,symlink,24,0o777
bin/dot11SetRTSThreshold,symlink,24,0o777
bin/dot11SetSSID,symlink,24,0o777
bin/dot11SetSTAConfig,symlink,24,0o777
bin/dot11SetShortPreamble,symlink,24,0o777
bin/dot11SetShortRetry,symlink,24,0o777
bin/dot11SetTXOPLimit,symlink,24,0o777
bin/dot11SetTxPower,symlink,24,0o777
bin/dot11SetWDS,symlink,24,0o777
bin/dot11SetWepKey,symlink,24,0o777
bin/dot11ShortPreambleGet,symlink,24,0o777
bin/dot11ShortRetryGet,symlink,24,0o777
bin/dot11TxPowerGet,symlink,24,0o777
bin/dot11VapsStatUpdt,symlink,24,0o777
bin/dot11WDSGet,symlink,24,0o777
bin/dot11WpsConfigPbc,symlink,24,0o777
bin/dot11WpsConfigPin,symlink,24,0o777
bin/dot11WpsDisable,symlink,24,0o777
bin/dot11WpsEnable,symlink,24,0o777
bin/dot11WpsGetStatus,symlink,24,0o777
bin/dot11d,file,12550,0o755
bin/dot11mgmt.lua,file,297,0o755
bin/dproxyConfig,file,11192,0o755
bin/dutUptime,file,5368,0o755
bin/eMailLogs,file,14696,0o755
bin/emailLogs,file,14696,0o755
bin/enableLanScript.sh,file,814,0o755
bin/eraseall,file,12211,0o755
bin/ethtool,file,164008,0o755
bin/ethtoolConfig,file,8352,0o755
bin/evtDsptchd,file,12348,0o755
bin/exportCfg.lua,file,501,0o755
bin/fReset,file,10527,0o755
bin/factoryReset.sh,file,47,0o755
bin/firewallPolicy,file,311544,0o755
bin/firewalld,file,311864,0o755
bin/firmUpdtVer,file,16634,0o755
bin/fwTraffMtr,file,23904,0o755
bin/havp,file,281588,0o755
bin/identd,file,6452,0o755
bin/ifDevConfig,file,25316,0o755
bin/ifDevDeleteStats,symlink,24,0o777
bin/ifDevInsertStats,symlink,24,0o777
bin/ifDevUpdateIp6Addr,symlink,24,0o777
bin/ifDevUpdateMac,symlink,24,0o777
bin/ifDevUpdateStats,symlink,24,0o777
bin/ifDevUsageRecord,symlink,24,0o777
bin/ifStatic.sh,file,220,0o644
bin/ifStaticConfig,file,21692,0o755
bin/ifStaticIfDevHandler,symlink,27,0o777
bin/ifStaticTblManage,symlink,27,0o777
bin/ifgroup,file,7040,0o755
bin/igmpConfig,file,10480,0o755
bin/igmpproxy,file,42512,0o755
bin/imp_status.sh,file,3460,0o755
bin/importConfig.lua,file,1289,0o755
bin/ip,file,202944,0o755
bin/ip6tables,file,56608,0o755
